MicroMessenger Client,微信中的工具
QIYIVideo/6.7 (Gphone;com.qiyi.video;Android 4.4.4;Xiaomi HM NOTE 1S) Corejar,爱奇艺
MX4_4.4.2_weibo_5.4.0_android,微博
Weibo/4726 CFNetwork/609.1.4 Darwin/13.0.0,微博
Youku;5.1.1;Android;4.1.2;GT-N7108,优酷
kugou/7.8.1.0 CFNetwork/758.1.6 Darwin/15.0.0,酷狗
QIYIVideo/6.5 (Gphone;com.qiyi.video;Android 4.2.2;OPPO-OPPO82_13059) Corejar,爱奇艺
Youku;5.2;Android;4.4.2;CHM-TL00,优酷
MomoChat/6.4.8 CFNetwork/758.0.2 Darwin/15.0.0,陌陌
PPTViPad/4.3.3.561 CFNetwork/758.0.2 Darwin/15.0.0,ppt v
PPHelperNS/103 CFNetwork/609.1.4 Darwin/13.0.0,pp助手
Youku;4.8.1;Android;4.4.4;SM-G3609,优酷
QQMusic 5.7 (iPhone; iPhone OS 8.4; zh-CN),qq音乐
QQMusic 5070006(android 4.2.1),qq音乐
Youku;5.0;Android;4.4.2;Lenovo A3800-d,优酷
"AppStore/2.0 iOS/9.1 model/iPad5,3 hwp/t7001 build/13B143 (5; dt:113)",苹果应用商店
Youku;5.1.1;Android;4.4.2;SM-N9008,优酷
HUAWEI GRA-UL10_5.0.1_weibo_5.5.0_android,微博
Tmall4iPhone/5.11.3 CFNetwork/758.1.6 Darwin/15.0.0,天猫
"AppStore/2.0 iOS/8.3 model/iPhone6,2 build/12F70 (6; dt:90)",苹果应用商店
"Youku HD;4.0;iPhone OS;9.1;iPad4,4",优酷
vivo Y17T_4.2.2_weibo_5.5.0_android,微博
Youku;5.1.1;Android;5.0;Lenovo A2580,优酷
AMAP_Location_SDK_Android 1.4.0,高德地图
QQMusic 5060019(android 4.1.2),QQ音乐
Youku;5.1.1;Android;4.2.2;Coolpad 8297D,优酷
XiaoYing/4.4.6 (iPhone; iOS 9.1; Scale/2.00),小影
